DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
10.1109/VAST.2016.7883515,"P. H. Nguyen, and K. Xu, and A. Bardill, and B. Salman, and K. Herd, and B. L. W. Wong",Henry,,,,,No,No,No,,,IEEE,,,SenseMap: Supporting browser-based online sensemaking through analytic provenance,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7883515,2016 IEEE Conference on Visual Analytics Science and Technology (VAST),,2016
10.1109/TMM.2016.2614224,"B. Renoust, and D. -D. Le, and S. Satoh",Henry,,,,,No,No,No,,,IEEE,,,Visual Analytics of Political Networks From Face-Tracking of News Video,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7577802,IEEE Transactions on Multimedia,,2016
10.1109/TVCG.2021.3114820,"A. Narechania, and A. Karduni, and R. Wesslen, and E. Wall",Henry,,,,,No,No,No,,,IEEE,,,VITALITY: Promoting Serendipitous Discovery of Academic Literature with Transformers & Visual Analytics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552447,IEEE Transactions on Visualization and Computer Graphics,,2022
10.1109/PACIFICVIS.2016.7465251,"Q. Shu, and H. Guo, and J. Liang, and L. Che, and J. Liu, and X. Yuan",Henry,,,,,No,No,No,,,IEEE,,,EnsembleGraph: Interactive visual analysis of spatiotemporal behaviors in ensemble simulation data,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7465251,2016 IEEE Pacific Visualization Symposium (PacificVis),,2016
10.1109/JAS.2023.123015,"U. Lee, and G. Jung, and E. -Y. Ma, and J. S. Kim, and H. Kim, and J. Alikhanov, and Y. Noh, and H. Kim",Henry,,,,,No,No,No,,,IEEE,,,Toward Data-Driven Digital Therapeutics Analytics: Literature Review and Research Directions,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10007899,IEEE/CAA Journal of Automatica Sinica,,2023
10.1109/TVCG.2016.2598796,"H. Song, and J. Lee, and T. J. Kim, and K. H. Lee, and B. Kim, and J. Seo",Henry,,,,,No,No,No,,,IEEE,,,GazeDx: Interactive Visual Analytics Framework for Comparative Gaze Analysis with Volumetric Medical Images,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7539334,IEEE Transactions on Visualization and Computer Graphics,,2017
10.1109/ACCESS.2018.2870684,"Y. Zhao, and Y. She, and W. Chen, and Y. Lu, and J. Xia, and W. Chen, and J. Liu, and F. Zhou","Alex, Henry",,,,,Yes,Yes,No,,,IEEE,Exclude - Other,,EOD Edge Sampling for Visualizing Dynamic Network via Massive Sequence View,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466814,IEEE Access,,2018
10.1109/VAST.2015.7347624,"P. Valdivia, and F. Dias, and F. Petronetto, and C. T. Silva, and L. G. Nonato",Henry,,,,,No,No,No,,,IEEE,,,Wavelet-based visualization of time-varying data on graphs,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7347624,2015 IEEE Conference on Visual Analytics Science and Technology (VAST),,2015
10.1109/CESYS.2016.7889976,"R. S. Raghav, and S. Pothula, and T. Vengattaraman, and D. Ponnurangam",Henry,,,,,No,No,No,,,IEEE,,,A survey of data visualization tools for analyzing large volume of data in big data platform,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7889976,2016 International Conference on Communication and Electronics Systems (ICCES),,2016
10.1109/ACCESS.2018.2873696,"X. Li, and H. Li",Henry,,,,,No,No,No,,,IEEE,,,A Visual Analysis of Research on Information Security Risk by Using CiteSpace,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8481339,IEEE Access,,2018
10.1109/TVCG.2021.3114781,"T. Tang, and Y. Wu, and Y. Wu, and L. Yu, and Y. Li",Henry,,,,,No,No,No,,,IEEE,,,VideoModerator: A Risk-aware Framework for Multimodal Video Moderation in E-Commerce,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552250,IEEE Transactions on Visualization and Computer Graphics,,2022
10.1109/PACIFICVIS.2017.8031583,"W. Wu, and Y. Zheng, and N. Cao, and H. Zeng, and B. Ni, and H. Qu, and L. M. Ni",Henry,,,,,No,No,No,,,IEEE,,,MobiSeg: Interactive region segmentation using heterogeneous mobility data,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8031583,2017 IEEE Pacific Visualization Symposium (PacificVis),,2017
10.1109/TVCG.2013.2297933,"M. Cho, and B. Kim, and H. -J. Bae, and J. Seo",Henry,,,,,No,No,No,,,IEEE,,,Stroscope: Multi-Scale Visualization of Irregularly Measured Time-Series Data,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6702502,IEEE Transactions on Visualization and Computer Graphics,,2014
10.1109/FIE.2013.6684866,"S. D. Zorzo, and L. de Ponte, and D. Lucrédio",Henry,,,,,No,No,No,,,IEEE,,,Using scrum to teach software engineering: A case study,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6684866,2013 IEEE Frontiers in Education Conference (FIE),,2013
10.1109/TVCG.2021.3114790,"Y. Wang, and T. -Q. Peng, and H. Lu, and H. Wang, and X. Xie, and H. Qu, and Y. Wu","Alex, Henry",,,,,Yes,Yes,No,,,IEEE,Exclude - Other,,Seek for Success: A Visualization Approach for Understanding the Dynamics of Academic Careers,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552870,IEEE Transactions on Visualization and Computer Graphics,,2022
10.1109/TETC.2015.2500099,"C. Sylla, and I. S. P. Pereira, and C. P. Coutinho, and P. Branco",Henry,,,,,No,No,No,,,IEEE,,,Digital Manipulatives as Scaffolds for Preschoolers’ Language Development,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7328284,IEEE Transactions on Emerging Topics in Computing,,2016
10.1109/TIME.2001.930692,"L. Chittaro, and C. Combi",Henry,,,,,No,No,No,,,IEEE,,,Representation of temporal intervals and relations: information visualization aspects and their evaluation,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=930692,Proceedings Eighth International Symposium on Temporal Representation and Reasoning. TIME 2001,,2001
10.1109/PacificVis.2019.00038,"R. Khulusi, and J. Kusnick, and J. Focht, and S. Jänicke",Henry,,,,,No,No,No,,,IEEE,,,An Interactive Chart of Biography,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8781573,2019 IEEE Pacific Visualization Symposium (PacificVis),,2019
10.1109/TVCG.2021.3114777,"Y. Hou, and C. Wang, and J. Wang, and X. Xue, and X. L. Zhang, and J. Zhu, and D. Wang, and S. Chen",Henry,,,,,No,No,No,,,IEEE,,,Visual Evaluation for Autonomous Driving,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9597616,IEEE Transactions on Visualization and Computer Graphics,,2022
10.1109/TVCG.2021.3114843,R. Gove,"Alex, Henry",,,,,Yes,Yes,No,,,IEEE,Exclude - Other,,Automatic Narrative Summarization for Visualizing Cyber Security Logs and Incident Reports,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552186,IEEE Transactions on Visualization and Computer Graphics,,2022
10.1109/IRI.2009.5211552,M. VanDaniker,Henry,,,,,No,No,No,,,IEEE,,,Visualizing real-time and archived traffic incident data,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5211552,2009 IEEE International Conference on Information Reuse & Integration,,2009
10.1109/BigData.2013.6691629,"L. Shi, and Q. Liac, and X. Sun, and Y. Chen, and C. Lin",Henry,,,,,No,No,No,,,IEEE,,,Scalable network traffic visualization using compressed graphs,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691629,2013 IEEE International Conference on Big Data,,2013
10.1109/TVCG.2021.3114762,"C. Li, and G. Baciu, and Y. Wang, and J. Chen, and C. Wang",Henry,,,,,No,No,No,,,IEEE,,,DDLVis: Real-time Visual Query of Spatiotemporal Data Distribution via Density Dictionary Learning,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552191,IEEE Transactions on Visualization and Computer Graphics,,2022
10.1109/TKDE.2014.2324581,"S. Liu, and Y. Chen, and H. Wei, and J. Yang, and K. Zhou, and S. M. Drucker","Alex, Henry",,,,,Yes,Yes,No,,,IEEE,Exclude - Other,,Exploring Topical Lead-Lag across Corpora,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6816054,IEEE Transactions on Knowledge and Data Engineering,,2015
10.1109/MCG.2020.2968249,"J. Lu, and J. Wang, and H. Ye, and Y. Gu, and Z. Ding, and M. Xu, and W. Chen",Henry,,,,,No,No,No,,,IEEE,,,Illustrating Changes in Time-Series Data With Data Video,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8964411,IEEE Computer Graphics and Applications,,2020
10.1109/TBDATA.2020.2964169,"Y. Shi, and Y. Liu, and H. Tong, and J. He, and G. Yan, and N. Cao",Henry,,,,,No,No,No,,,IEEE,,,Visual Analytics of Anomalous User Behaviors: A Survey,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8950124,IEEE Transactions on Big Data,,2022
10.1109/CISIS.2016.48,"D. Baneres, and S. Caballé, and R. Clarisó",Henry,,,,,No,No,No,,,IEEE,,,Towards a Learning Analytics Support for Intelligent Tutoring Systems on MOOC Platforms,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7791869,"2016 10th International Conference on Complex, Intelligent, and Software Intensive Systems (CISIS)",,2016
10.1109/VIS47514.2020.00037,"J. Tang, and L. Yu, and T. Tang, and X. Shu, and L. Ying, and Y. Zhou, and P. Ren, and Y. Wu",Henry,,,,,No,No,No,,,IEEE,,,Narrative Transitions in Data Videos,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9331289,2020 IEEE Visualization Conference (VIS),,2020
10.1109/VISSOFT.2016.6,"M. D. Feist, and E. A. Santos, and I. Watts, and A. Hindle",Henry,,,,,No,No,No,,,IEEE,,,Visualizing Project Evolution through Abstract Syntax Tree Analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780152,2016 IEEE Working Conference on Software Visualization (VISSOFT),,2016
10.1109/TVCG.2020.3030398,"E. Cakmak, and U. Schlegel, and D. Jäckle, and D. Keim, and T. Schreck",Henry,,,,,No,No,No,,,IEEE,,,Multiscale Snapshots: Visual Analysis of Temporal Summaries in Dynamic Graphs,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222072,IEEE Transactions on Visualization and Computer Graphics,,2021
10.1109/TVCG.2014.2346451,"D. Schroeder, and F. Korsakov, and C. M. -P. Knipe, and L. Thorson, and A. M. Ellingson, and D. Nuckley, and J. Carlis, and D. F. Keefe",Henry,,,,,No,No,No,,,IEEE,,,Trend-Centric Motion Visualization: Designing and Applying a New Strategy for Analyzing Scientific Motion Collections,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6875981,IEEE Transactions on Visualization and Computer Graphics,,2014
10.1109/MCG.2015.74,"S. Wang, and Y. Tanahashi, and N. Leaf, and K. -L. Ma",Henry,,,,,No,No,No,,,IEEE,,,Design and Effects of Personal Visualizations,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7160902,IEEE Computer Graphics and Applications,,2015
10.1109/TVCG.2020.2977336,"R. Ošlejšek, and V. Rusňák, and K. Burská, and V. Švábenský, and J. Vykopal, and J. Čegan",Henry,,,,,No,No,No,,,IEEE,,,Conceptual Model of Visual Analytics for Hands-on Cybersecurity Training,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9018081,IEEE Transactions on Visualization and Computer Graphics,,2021
10.1109/MCG.2023.3269850,"Z. Zhao, and N. Elmqvist",Henry,,,,,No,No,No,,,IEEE,,,The Stories We Tell About Data: Surveying Data-Driven Storytelling Using Visualization,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10107759,IEEE Computer Graphics and Applications,,2023
10.1109/VIZSEC.2018.8709177,"R. Gove, and L. Deason",Henry,,,,,No,No,No,,,IEEE,,,Visualizing Automatically Detected Periodic Network Activity,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8709177,2018 IEEE Symposium on Visualization for Cyber Security (VizSec),,2018
10.1109/TVCG.2023.3326578,"K. Dasu, and Y. -H. Kuo, and K. -L. Ma",Henry,,,,,No,No,No,,,IEEE,,,Character-Oriented Design for Visual Data Storytelling,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10290935,IEEE Transactions on Visualization and Computer Graphics,,2024
10.1109/TVCG.2022.3152450,"L. E. Resck, and J. R. Ponciano, and L. G. Nonato, and J. Poco",Henry,,,,,No,No,No,,,IEEE,,,LegalVis: Exploring and Inferring Precedent Citations in Legal Documents,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9716779,IEEE Transactions on Visualization and Computer Graphics,,2023
10.1007/s41095-022-0275-7,"Z. Deng, and D. Weng, and S. Liu, and Y. Tian, and M. Xu, and Y. Wu",Henry,,,,,No,No,No,,,IEEE,,,A survey of urban visual analytics: Advances and future directions,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10897684,Computational Visual Media,,2023
10.1109/VIS47514.2020.00060,"M. Kahng, and D. H. P. Chau",Henry,,,,,No,No,No,,,IEEE,,,How Does Visualization Help People Learn Deep Learning? Evaluating GAN Lab with Observational Study and Log Analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9331260,2020 IEEE Visualization Conference (VIS),,2020
10.1109/TVCG.2022.3165348,"Shilpika, and T. Fujiwara, and N. Sakamoto, and J. Nonaka, and K. -L. Ma",Henry,,,,,No,No,No,,,IEEE,,,A Visual Analytics Approach for Hardware System Monitoring with Streaming Functional Data Analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9751445,IEEE Transactions on Visualization and Computer Graphics,,2022
10.1109/TVCG.2023.3241581,"A. Batch, and Y. Ji, and M. Fan, and J. Zhao, and N. Elmqvist",Henry,,,,,No,No,No,,,IEEE,,,uxSense: Supporting User Experience Analysis with Visualization and Computer Vision,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10034833,IEEE Transactions on Visualization and Computer Graphics,,2024
10.1109/ACCESS.2020.2980901,"K. Panetta, and Q. Wan, and S. Rajeev, and A. Kaszowska, and A. L. Gardony, and K. Naranjo, and H. A. Taylor, and S. Agaian","Alex, Henry",,,,,Yes,Yes,No,,,IEEE,Exclude - Other,,ISeeColor: Method for Advanced Visual Analytics of Eye Tracking Data,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9036879,IEEE Access,,2020
10.1109/PacificVis53943.2022.00023,"C. Zheng, and X. Ma",Henry,,,,,No,No,No,,,IEEE,,,Evaluating the Effect of Enhanced Text-Visualization Integration on Combating Misinformation in Data Story,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9787872,2022 IEEE 15th Pacific Visualization Symposium (PacificVis),,2022
10.1109/GEM.2014.7048098,"P. Mirza-Babaei, and L. Nacke",Henry,,,,,No,No,No,,,IEEE,,,Introducing the biometric storyboards tool for games user research,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7048098,2014 IEEE Games Media Entertainment,,2014
10.1109/BDVA.2017.8114623,"J. Bastiras, and B. H. Thomas",Henry,,,,,No,No,No,,,IEEE,,,Combining Virtual Reality and Narrative Visualisation to Persuade,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8114623,2017 International Symposium on Big Data Visual Analytics (BDVA),,2017
10.1109/TVCG.2019.2934209,"D. Borland, and W. Wang, and J. Zhang, and J. Shrestha, and D. Gotz",Henry,,,,,No,No,No,,,IEEE,,,Selection Bias Tracking and Detailed Subset Comparison for High-Dimensional Data,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8807213,IEEE Transactions on Visualization and Computer Graphics,,2020
10.1109/TVCG.2022.3209461,"Y. Li, and Y. Qi, and Y. Shi, and Q. Chen, and N. Cao, and S. Chen",Henry,,,,,No,No,No,,,IEEE,,,Diverse Interaction Recommendation for Public Users Exploring Multi-view Visualization using Deep Learning,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9903596,IEEE Transactions on Visualization and Computer Graphics,,2023
10.1109/HSI.2010.5514559,"I. Maly, and Z. Mikovec, and J. Vystrcil",Henry,,,,,No,No,No,,,IEEE,,,Interactive analytical tool for usability analysis of mobile indoor navigation application,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5514559,3rd International Conference on Human System Interaction,,2010
10.1109/SMC.2018.00507,"C. Wu, and S. Sheng, and X. Dong",Henry,,,,,No,No,No,,,IEEE,,,Research on Visualization Systems for DDoS Attack Detection,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8616503,"2018 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",,2018
10.1109/ICHI.2016.93,"R. Kamaleswaran, and A. James, and C. Collins, and C. McGregor",Henry,,,,,No,No,No,,,IEEE,,,CoRAD: Visual Analytics for Cohort Analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7776411,2016 IEEE International Conference on Healthcare Informatics (ICHI),,2016
10.1109/TBDATA.2023.3262151,"G. Sun, and Z. Zhu, and G. Zhang, and C. Xu, and Y. Wang, and S. Zhu, and B. Chang, and R. Liang",Henry,,,,,No,No,No,,,IEEE,,,Application of Mathematical Optimization in Data Visualization and Visual Analytics: A Survey,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10081451,IEEE Transactions on Big Data,,2023
10.1109/iV.2017.65,"S. Zwinger, and J. Langer, and M. Zeiller",Henry,,,,,No,No,No,,,IEEE,,,Acceptance and Usability of Interactive Infographics in Online Newspapers,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8107966,2017 21st International Conference Information Visualisation (IV),,2017
10.1109/TVCG.2021.3104026,"R. Sevastjanova, and M. El-Assady, and A. Bradley, and C. Collins, and M. Butt, and D. Keim",Henry,,,,,No,No,No,,,IEEE,,,VisInReport: Complementing Visual Discourse Analytics Through Personalized Insight Reports,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9511808,IEEE Transactions on Visualization and Computer Graphics,,2022
10.1109/VISSOFT55257.2022.00021,"K. Højelse, and T. Kilbak, and J. Røssum, and E. Jäpelt, and L. Merino, and M. Lungu",Henry,,,,,No,No,No,,,IEEE,,,Git-Truck: Hierarchy-Oriented Visualization of Git Repository Evolution,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978443,2022 Working Conference on Software Visualization (VISSOFT),,2022
10.1109/TPC.2022.3144826,C. A. Welhausen,Henry,,,,,No,No,No,,,IEEE,,,"Precarious Data: Crack, Opioids, and Enacting a Social Justice Ethic in Data Visualization Practice",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9726517,IEEE Transactions on Professional Communication,,2022
10.1109/TVCG.2023.3326572,"I. Pérez-Messina, and D. Ceneda, and S. Miksch",Henry,,,,,No,No,No,,,IEEE,,,Guided Visual Analytics for Image Selection in Time and Space,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10308619,IEEE Transactions on Visualization and Computer Graphics,,2024
10.1109/VPA.2014.12,"B. Weyers, and C. Terboven, and D. Schmidl, and J. Herber, and T. W. Kuhlen, and M. S. Müller, and B. Hentschel",Henry,,,,,No,No,No,,,IEEE,,,Visualization of Memory Access Behavior on Hierarchical NUMA Architectures,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7018177,2014 First Workshop on Visual Performance Analysis,,2014
10.1109/TVCG.2023.3327363,"G. Wu, and S. Guo, and J. Hoffswell, and G. Y. -Y. Chan, and R. A. Rossi, and E. Koh",Henry,,,,,No,No,No,,,IEEE,,,Socrates: Data Story Generation via Adaptive Machine-Guided Elicitation of User Feedback,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10308697,IEEE Transactions on Visualization and Computer Graphics,,2024
10.1109/VDS51726.2020.00008,"E. Cakmak, and D. Jäckle, and T. Schreck, and D. Keim",Henry,,,,,No,No,No,,,IEEE,,,dg2pix: Pixel-Based Visual Analysis of Dynamic Graphs,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355219,2020 Visualization in Data Science (VDS),,2020
10.1109/RESPECT51740.2021.9620625,"M. S. Shaw, and G. Ji, and Y. Zhang, and Y. B. Kafai",Henry,,,,,No,No,No,,,IEEE,,,Promoting socio-political identification with computer science: How high school youth restory their identities through electronic textile quilts,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9620625,"2021 Conference on Research in Equitable and Sustained Participation in Engineering, Computing, and Technology (RESPECT)",,2021
10.1109/VAST.2018.8802415,"P. -M. Law, and Y. Wu, and R. C. Basole",Henry,,,,,No,No,No,,,IEEE,,,Segue: Overviewing Evolution Patterns of Egocentric Networks by Interactive Construction of Spatial Layouts,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802415,2018 IEEE Conference on Visual Analytics Science and Technology (VAST),,2018
10.1109/VAST50239.2020.00008,"S. “. Bae, and F. Rossi, and J. V. Hook, and S. Davidoff, and K. -L. Ma",Henry,,,,,No,No,No,,,IEEE,,,"A Visual Analytics Approach to Debugging Cooperative, Autonomous Multi-Robot Systems’ Worldviews",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9308630,2020 IEEE Conference on Visual Analytics Science and Technology (VAST),,2020
10.1145/2492517.2492638,"M. Q. Y. Wu, and R. Faris, and K. -L. Ma",Henry,,,,,No,No,No,,,IEEE,,,Visual exploration of academic career paths,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6785791,2013 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM 2013),,2013
10.1109/BigData.2018.8622571,"Y. Chen, and A. Puri, and L. Yuan, and H. Qu",Henry,,,,,No,No,No,,,IEEE,,,StageMap: Extracting and Summarizing Progression Stages in Event Sequences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622571,2018 IEEE International Conference on Big Data (Big Data),,2018
10.1109/BigData47090.2019.9006351,"V. Domova, and S. Sander-Tavallaey","Alex, Henry",,,,,Yes,Yes,No,,,IEEE,Exclude - Other,,Visualization for Quality Healthcare: Patient Flow Exploration,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9006351,2019 IEEE International Conference on Big Data (Big Data),,2019
10.1109/MCG.2016.66,"P. A. Legg, and E. Maguire, and S. Walton, and M. Chen",Henry,,,,,No,No,No,,,IEEE,,,Glyph Visualization: A Fail-Safe Design Scheme Based on Quasi-Hamming Distances,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7478426,IEEE Computer Graphics and Applications,,2017
10.1109/BigData47090.2019.9005521,"E. Felemban, and F. U. Rehman, and A. A. Biabani, and A. Naseer, and U. AlAbdulwahab",Henry,,,,,No,No,No,,,IEEE,,,Towards Building an Interactive Platform for Analyzing Movement of Buses in Hajj,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005521,2019 IEEE International Conference on Big Data (Big Data),,2019
10.1109/TVCG.2022.3209487,"M. AlKadi, and V. Serrano, and J. Scott-Brown, and C. Plaisant, and J. -D. Fekete, and U. Hinrichs, and B. Bach",Henry,,,,,No,No,No,,,IEEE,,,Understanding Barriers to Network Exploration with Visualization: A Report from the Trenches,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9903291,IEEE Transactions on Visualization and Computer Graphics,,2023
10.1109/VISUAL.2019.8933584,"Y. Zhang, and S. D. Bartolomeo, and F. Sheng, and H. Jimison, and C. Dunne",Henry,,,,,No,No,No,,,IEEE,,,Evaluating Alignment Approaches in Superimposed Time-Series and Temporal Event-Sequence Visualizations,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8933584,2019 IEEE Visualization Conference (VIS),,2019
10.1109/TVCG.2022.3190623,"A. Arleo, and W. Didimo, and G. Liotta, and S. Miksch, and F. Montecchiani",Henry,,,,,No,No,No,,,IEEE,,,Influence Maximization With Visual Analytics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9829321,IEEE Transactions on Visualization and Computer Graphics,,2022
10.1109/VizSec48167.2019.9161590,"B. Fouss, and D. M. Ross, and A. B. Wollaber, and S. R. Gomez",Henry,,,,,No,No,No,,,IEEE,,,PunyVis: A Visual Analytics Approach for Identifying Homograph Phishing Attacks,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9161590,2019 IEEE Symposium on Visualization for Cyber Security (VizSec),,2019
10.1109/VISSOFT.2013.6650526,"J. Zhi, and G. Ruhe",Henry,,,,,No,No,No,,,IEEE,,,DEVis: A tool for visualizing software document evolution,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6650526,2013 First IEEE Working Conference on Software Visualization (VISSOFT),,2013
10.1109/VizSec48167.2019.9161386,"R. Ošlejšek, and V. Rusňák, and K. Burská, and V. Švábenský, and J. Vykopal",Henry,,,,,No,No,No,,,IEEE,,,Visual Feedback for Players of Multi-Level Capture the Flag Games: Field Usability Study,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9161386,2019 IEEE Symposium on Visualization for Cyber Security (VizSec),,2019
10.1109/TVCG.2024.3456330,"Z. Wei, and H. Qu, and X. Xu",Henry,,,,,No,No,No,,,IEEE,,,Telling Data Stories with the Hero's Journey: Design Guidance for Creating Data Videos,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670568,IEEE Transactions on Visualization and Computer Graphics,,2025
10.1109/PACIFICVIS.2016.7465277,"Y. Wang, and T. Wu, and C. Zhu-Tian, and Q. Luo, and H. Qu",Henry,,,,,No,No,No,,,IEEE,,,STAC: Enhancing stacked graphs for time series analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7465277,2016 IEEE Pacific Visualization Symposium (PacificVis),,2016
10.1109/EduVis60792.2023.00012,"M. Boucher, and B. Bach, and C. Stoiber, and Z. Wang, and W. Aigner",Henry,,,,,No,No,No,,,IEEE,,,Educational Data Comics: What can Comics do for Education in Visualization?,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10344064,"2023 IEEE VIS Workshop on Visualization Education, Literacy, and Activities (EduVis)",,2023
10.1109/TVCG.2020.3012778,"M. Alharbi, and R. S. Laramee, and T. Cheesman",Henry,,,,,No,No,No,,,IEEE,,,TransVis: Integrated Distant and Close Reading of Othello Translations,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9152170,IEEE Transactions on Visualization and Computer Graphics,,2022
10.1109/MCG.2020.2985368,"F. Windhager, and S. Salisu, and R. A. Leite, and V. Filipov, and S. Miksch, and G. Schreder, and E. Mayr",Henry,,,,,No,No,No,,,IEEE,,,Many Views Are Not Enough: Designing for Synoptic Insights in Cultural Collections,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9057396,IEEE Computer Graphics and Applications,,2020
10.1109/TVCG.2014.2299803,"W. -L. Lu, and Y. -S. Wang, and W. -C. Lin","Alex, Henry",,,,,Yes,Yes,No,,,IEEE,Exclude - Other,,Chess Evolution Visualization,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6710145,IEEE Transactions on Visualization and Computer Graphics,,2014
10.1109/MIPR.2018.00063,"M. Alikhani, and M. Stone",Henry,,,,,No,No,No,,,IEEE,,,Exploring Coherence in Visual Explanations,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8397019,2018 IEEE Conference on Multimedia Information Processing and Retrieval (MIPR),,2018
10.1109/CIMPS.2017.8169944,"L. E. V. Peña, and L. R. Mazahua, and G. A. Hernández, and B. A. O. Zepahua, and S. G. P. Camarena, and I. M. Cano",Henry,,,,,No,No,No,,,IEEE,,,Big data visualization: Review of techniques and datasets,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8169944,2017 6th International Conference on Software Process Improvement (CIMPS),,2017
